ticker_h,CIK,EIN,FY,CEO Names,10-K Total Word Count,LTS Total Word Count,LTS Promo Word Count,LTS Preven Word Count,LTS Promo Words Proportion of LTS Total Word Count,LTS Preven Words Proportion of LTS Total Word Count
AES,874761.0,5-41163725,2000,Dick Darman,59129,1172,65,26,0.05533252599999999,0.022425897
AES,874761.0,5-41163725,2002,Dick Darman,56350,1295,61,36,0.046949633,0.028149586
AES,874761.0,5-41163725,2003,BobHemphill,48038,1108,130,59,0.11702415699999999,0.053301017
AES,874761.0,5-41163725,2004,Paul Hanrahan,41082,928,70,22,0.075780587,0.02382067
AES,874761.0,5-41163725,2005,Paul Hanrahan,50282,1039,83,50,0.08003455400000001,0.048161482
AES,874761.0,5-41163725,2006,Paul Hanrahan,54483,1864,228,47,0.122087131,0.025064757000000003
AES,874761.0,5-41163725,2007,Paul Hanrahan,49927,1298,41,84,0.031970052,0.064761344
AES,874761.0,5-41163725,2008,Paul Hanrahan,31084,1079,67,86,0.062017525999999996,0.079417561
AES,874761.0,5-41163725,2009,Paul Hanrahan,50474,867,27,36,0.03126393,0.041754226
AES,874761.0,5-41163725,2010,Paul Hanrahan,50427,1670,73,68,0.043470159,0.040696338
AES,874761.0,5-41163725,2011,Paul Hanrahan,38373,1710,211,52,0.123158443,0.030497643999999997
AES,874761.0,5-41163725,2012,Paul Hanrahan,45711,968,72,17,0.073895931,0.017823711000000002
AES,874761.0,5-41163725,2013,Paul Hanrahan,78865,1385,85,22,0.061238867999999995,0.015832675
AES,874761.0,5-41163725,2014,Andres Gluski,56863,1636,85,67,0.05216852,0.040908511
AES,874761.0,5-41163725,2015,James H. Steeley,66697,2085,191,67,0.091372249,0.032158342
AES,874761.0,5-41163725,2016,James H. Steeley,77584,2016,136,30,0.067454688,0.014712111000000002
AES,874761.0,5-41163725,2017,Andres Gluski,70783,1997,163,180,0.081438678,0.089897449
AES,874761.0,5-41163725,2019,Andres Gluski,73021,1464,68,120,0.046559271,0.082149794
AA,1675149.0,8-11789115,1996,Roy Harvey,53535,933,37,63,0.039604299,0.0678941
AA,1675149.0,8-11789115,1997,Roy Harvey,49294,994,33,33,0.032719415,0.032843405
AA,1675149.0,8-11789115,1998,J. P. Belda,45154,1015,159,92,0.156775078,0.090815884
AA,1675149.0,8-11789115,1999,Roy Harvey,44309,942,97,24,0.102836676,0.025501852000000002
AA,1675149.0,8-11789115,2000,Paul O'Neill,42587,2131,134,95,0.062918068,0.044694979
AA,1675149.0,8-11789115,2001,Alain Belda,48532,845,78,57,0.09232568599999999,0.06734043299999999
AA,1675149.0,8-11789115,2002,Alain Belda,49502,883,84,85,0.09471328,0.09669990199999999
AA,1675149.0,8-11789115,2003,Alain Belda,26943,1119,75,71,0.067336972,0.063303669
AA,1675149.0,8-11789115,2004,Alain Belda,48635,1080,131,49,0.121702541,0.045719570999999994
AA,1675149.0,8-11789115,2005,Roy Harvey,51550,1024,57,65,0.055825748,0.063047587
AA,1675149.0,8-11789115,2006,Roy Harvey,53291,1008,42,87,0.041430847,0.086582517
AA,1675149.0,8-11789115,2007,Klaus-Christian Kleinfeld,49361,920,67,82,0.072431621,0.089648407
AA,1675149.0,8-11789115,2009,Klaus-Christian Kleinfeld,50508,970,37,53,0.038491753999999996,0.054900544
AA,1675149.0,8-11789115,2011,Klaus-Christian Kleinfeld,39977,957,31,57,0.032469692,0.059759952000000005
AA,1675149.0,8-11789115,2012,Klaus-Christian Kleinfeld,40456,990,53,76,0.053867657,0.077043712
AA,1675149.0,8-11789115,2013,Klaus-Christian Kleinfeld,41154,936,77,79,0.082627399,0.08433165
AA,1675149.0,8-11789115,2014,Klaus-Christian Kleinfeld,37565,1681,92,118,0.054989530999999994,0.070343135
AA,1675149.0,8-11789115,2015,Roy Harvey,53477,998,56,54,0.056058957,0.05455926
AA,1675149.0,8-11789115,2016,Roy Harvey,40503,1362,127,105,0.093233298,0.077289604
AA,1675149.0,8-11789115,2017,Roy Harvey,48395,936,44,15,0.047205697000000005,0.016010768
AA,1675149.0,8-11789115,2018,Roy Harvey,54726,1137,100,95,0.087937846,0.083522939
ALEX,1545654.0,4-54849780,1999,Chris Benjamin,42185,938,53,89,0.056628748,0.095166504
ALEX,1545654.0,4-54849780,2000,Chris Benjamin,49336,1223,138,109,0.11300902199999999,0.08892860000000001
ALEX,1545654.0,4-54849780,2001,Chris Benjamin,43347,1388,91,61,0.065307287,0.044277603
ALEX,1545654.0,4-54849780,2007,Christopher J. Benjamin ,38526,1251,190,67,0.15216343699999998,0.05355445
ALEX,1545654.0,4-54849780,2008,Frank E. Kiger,41875,1018,35,20,0.033928267000000005,0.019810572
ALEX,1545654.0,4-54849780,2009,W. Allen Doane,40498,1108,98,70,0.088636315,0.06317784
ALEX,1545654.0,4-54849780,2010,Stanley M. Kuriyama,37959,1256,55,105,0.044026897999999995,0.083717288
ALEX,1545654.0,4-54849780,2011,Stanley M. Kuriyama,29971,1205,90,22,0.074442602,0.018519347
ALEX,1545654.0,4-54849780,2013,W. Allen Doane,43561,1110,58,36,0.052571515,0.032809141
ALEX,1545654.0,4-54849780,2015,Chris Benjamin,35578,827,68,20,0.082771925,0.02371973
ALEX,1545654.0,4-54849780,2016,Chris Benjamin,31217,930,95,31,0.101848933,0.033019269
ALEX,1545654.0,4-54849780,2017,Chris Benjamin,34357,923,99,19,0.10750636699999999,0.020699189
ALEX,1545654.0,4-54849780,2018,Chris Benjamin,67251,1179,62,33,0.052246414000000005,0.028252289
ALEX,1545654.0,4-54849780,2019,Chris Benjamin,54310,975,30,95,0.030465505,0.09762367699999999
ARE,1035443.0,9-54502084,1997,JOEL S. MARCUS,33803,1207,195,25,0.16148928099999998,0.020651461
ARE,1035443.0,9-54502084,1998,JOEL S. MARCUS,43487,966,66,67,0.067976325,0.069759707
ARE,1035443.0,9-54502084,1999,JOEL S. MARCUS,44440,1039,43,50,0.041154155,0.04842337099999999
ARE,1035443.0,9-54502084,2000,JOEL S. MARCUS,25554,1051,52,52,0.049022672999999996,0.04966185099999999
ARE,1035443.0,9-54502084,2001,JOEL S. MARCUS,27081,957,97,75,0.101733571,0.078564585
ARE,1035443.0,9-54502084,2002,JOEL S. MARCUS,30922,895,63,15,0.070194819,0.016679356
ARE,1035443.0,9-54502084,2003,JOEL S. MARCUS,28186,1154,136,50,0.117564544,0.043591142
ARE,1035443.0,9-54502084,2004,JOEL S. MARCUS,31490,951,43,62,0.045309761,0.06511135400000001
ARE,1035443.0,9-54502084,2005,JOEL S. MARCUS,38459,943,111,45,0.117690575,0.047964263
ARE,1035443.0,9-54502084,2006,JOEL S. MARCUS,45355,982,65,65,0.06620418,0.066646334
ARE,1035443.0,9-54502084,2007,JOEL S. MARCUS,39643,965,41,27,0.042912486,0.028072436
ARE,1035443.0,9-54502084,2008,JOEL S. MARCUS,29285,1111,141,26,0.127017425,0.023332073999999998
ARE,1035443.0,9-54502084,2009,JOEL S. MARCUS,47705,1137,34,19,0.029651369,0.016514631000000002
ARE,1035443.0,9-54502084,2010,JOEL S. MARCUS,25075,813,49,32,0.060572459,0.03941724
ARE,1035443.0,9-54502084,2011,JOEL S. MARCUS,67170,1006,98,66,0.09751618199999999,0.065117091
ARE,1035443.0,9-54502084,2012,JOEL S. MARCUS,33205,1044,96,62,0.092370799,0.059193844
ARE,1035443.0,9-54502084,2013,JOEL S. MARCUS,50557,2226,250,100,0.112478693,0.044707835
ARE,1035443.0,9-54502084,2014,JOEL S. MARCUS,58353,1700,54,53,0.031774315,0.031422284
ARE,1035443.0,9-54502084,2015,JOEL S. MARCUS,53157,1074,69,99,0.064229621,0.091722863
ARE,1035443.0,9-54502084,2016,JOEL S. MARCUS,63151,1722,394,158,0.228718612,0.09177395099999999
ARE,1035443.0,9-54502084,2017,JOEL S. MARCUS,64727,2062,182,55,0.088487627,0.026598217
ARE,1035443.0,9-54502084,2018,Heather Peeler ,75025,1161,38,38,0.032499617,0.032499131
